carpeta,archivo,ruta,anio,tipo_acto,subtipo,vigente_ccyc,variables_detectadas,calidad_preset,observaciones,usar_como_preset
ESCRIBANIA,2021 - ENTRADAS DE ESCRITURAS AL REGISTRO.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\2021 - ENTRADAS DE ESCRITURAS AL REGISTRO.docx,2022,Acta de ingreso notarial,,False,"fecha_ingreso, numero_entrada, numero_expediente",baja,"Documento incompleto: solo contiene datos administrativos de ingreso sin información sustantiva del acto notarial. No identifica naturaleza, partes, otorgantes ni cuerpo del instrumento.",no
2018 - DALVIAN S.A. - VITALE MARIN,2018 PERMUTA - DALVIAN SA - VITALE MARIN (20 JULIO 2018).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\2018 - DALVIAN S.A. - VITALE MARIN\2018 PERMUTA - DALVIAN SA - VITALE MARIN (20 JULIO 2018).docx,sin_fecha,Permuta de inmueble,entre persona física y sociedad anónima,True,"nombre_parte1, dni_parte1, cuit_parte1, fecha_nacimiento_parte1, estado_civil_parte1, domicilio_parte1, nombre_parte2, dni_parte2, cuit_parte2, fecha_nacimiento_parte2, estado_civil_parte2, domicilio_parte2, denominacion_sociedad, cuit_sociedad, domicilio_sociedad, cargo_representante, numero_escritura, fecha_escritura, ciudad, provincia, notario, registro_notarial",media,"El documento está vigente al CCyC 2015 (cita art. 306). Requiere especificar los inmuebles objeto de permuta con descripción técnica completa, linderos y datos registrales; falta cláusula de garantía de evicción y vicios ocultos conforme CCyC art. 2056-2059.",si
2018 - ESCRITURAS VILA -VILA (JUNIO 2018),2018 - VENTA - ALVS  a favor de DEV (JUNIO 2018) (ESC. Nº 144) 3.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\2018 - ESCRITURAS VILA -VILA (JUNIO 2018)\2018 - VENTA - ALVS  a favor de DEV (JUNIO 2018) (ESC. Nº 144) 3.docx,sin_fecha,Compraventa de inmueble,De bien inmueble rural (fracción indivisa),True,"nombre_vendedor, dni_vendedor, cuit_vendedor, fecha_nacimiento_vendedor, domicilio_vendedor, nombre_comprador, dni_comprador, cuit_comprador, fecha_nacimiento_comprador, domicilio_comprador, nombre_apoderado, dni_apoderado, numero_escritura_poder, fecha_poder, numero_registro_mandatos, ubicacion_inmueble, porcentaje_propiedad, precio_venta, condiciones_pago",media,"El documento está incompleto (se corta en la descripción del inmueble). Requiere completar: descripción del bien, precio, forma de pago, cláusulas finales y cierre notarial. Utiliza correctamente referencias al CCyC 2015 (art. 306).",si
2021 - ARCHIVOS DALVIAN - CANO,DECLARATORIA  - BEATRIZ CANO.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\2021 - ARCHIVOS DALVIAN - CANO\DECLARATORIA  - BEATRIZ CANO.docx,2019,Sentencia judicial - Declaratoria de herederos,Sucesión ab intestato,True,"nombre_causante, fecha_defuncion_causante, nombre_conyuge_anterior, fecha_divorcio, fecha_defuncion_conyuge, nombres_herederos, fechas_nacimiento_herederos, numero_expediente, fecha_sentencia, nombre_juez, numero_juzgado, provincia_registro_civil",baja,"Este es un documento judicial (sentencia), no un acto notarial. No es susceptible de ser utilizado como plantilla notarial estándar ni requiere análisis bajo criterios de protocolo notarial.",no
2021 - DALVIAN SA - CENTRO COMERCIAL,2021 - VENTA - VILA DANIEL - FINCA GROWINE (14 DIC. 2021).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\2021 - DALVIAN SA - CENTRO COMERCIAL\2021 - VENTA - VILA DANIEL - FINCA GROWINE (14 DIC. 2021).docx,sin_fecha,Compraventa de inmueble,de propiedad urbana (lote/terreno residencial),True,"nombre_vendedor, dni_vendedor, cuil_vendedor, fecha_nacimiento_vendedor, domicilio_vendedor, nombre_comprador, razon_social_comprador, cuit_comprador, domicilio_comprador, apoderado_vendedor, apoderado_comprador, numero_escritura, fecha_escritura, numero_poder_especial, descripcion_inmueble",media,"El documento está incompleto (corta en la acreditación de poder del apoderado de la SA). Necesita: descripción completa del inmueble (datos catastrales), monto de la operación, transmisión de dominio conforme art. 1892 CCyC, y completar la documentación de la persona jurídica compradora.",si
2021 - DUMIT - DALVIAN SA (1 DIC. 2021),PODER ESPECIAL IRREVOCABLE - CESION DERECHOS INMUEBLES (MARILEN DUMIT).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\2021 - DUMIT - DALVIAN SA (1 DIC. 2021)\PODER ESPECIAL IRREVOCABLE - CESION DERECHOS INMUEBLES (MARILEN DUMIT).docx,sin_fecha,Poder especial,Para transmitir inmuebles rurales (reconocimiento de posesión con obligación de transmitir),True,"nombre_otorgante, dni_otorgante, cuit_otorgante, fecha_nacimiento_otorgante, domicilio_otorgante, nombre_apoderado, dni_apoderado, cuit_apoderado, fecha_nacimiento_apoderado, domicilio_apoderado, numero_escritura, fecha_escritura, notario_nombre, registro_notarial, sentencia_numero, tribunal, descripcion_inmuebles, matriculas_registrales, superficies, porcentajes_propiedad",media,"El documento está incompleto (corta abruptamente en la descripción del tercer inmueble). Requiere completar la descripción catastral y las cláusulas de alcance del poder, obligaciones y revocabilidad conforme CCyC art. 375-377.",si
2022 - ARCHIVOS DUMIT (JUNIO 2022),PERMUTA 6000 X 53HAS.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\2022 - ARCHIVOS DUMIT (JUNIO 2022)\PERMUTA 6000 X 53HAS.docx,2022,Permuta de bienes inmuebles,Permuta de inmueble rural por lotes urbanos en condominio,True,"día y mes, nombres de comparecientes, números de DNI, domicilios, matrícula inmueble, superficie del inmueble, cantidad de lotes, ubicación de lotes, CUIT empresa, nombre representante legal",media,"El documento está incompleto (se corta en 'Sector IV'). Requiere: completar identificación de todos los lotes, especificar obligaciones de ambas partes respecto a escrituración y plazos, aclarar quién pagará gastos notariales e impuestos, y detallar condiciones de entrega.",si
A-ARCHIVOS RUBIO (ANTICIPO),2019 - PERMUTA - RICARDO Y ENRIQUE RUBIO (MAYO 2019).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\A-ARCHIVOS RUBIO (ANTICIPO)\2019 - PERMUTA - RICARDO Y ENRIQUE RUBIO (MAYO 2019).docx,2019,Permuta de inmuebles,Permuta de dos inmuebles rurales en condominio con asentimiento conyugal,True,"número_escritura, fecha_día, fecha_mes_año, nombre_notario, número_registro_notarial, nombre_primer_permutante, DNI_primer_permutante, CUIT_primer_permutante, fecha_nacimiento_primer_permutante, estado_civil_primer_permutante, domicilio_primer_permutante, nombre_segundo_permutante, DNI_segundo_permutante, CUIT_segundo_permutante, fecha_nacimiento_segundo_permutante, estado_civil_segundo_permutante, nombre_cónyuge_segundo_permutante, DNI_cónyuge, CUIT_cónyuge, domicilio_segundo_permutante, descripción_inmueble_1_distrito, descripción_inmueble_1_departamento, descripción_inmueble_1_superficie_título, descripción_inmueble_1_superficie_catastro, nombre_agrimensor, número_archivo_catastro, medidas_perimetrales_inmueble_1, descripción_inmueble_2",media,"El documento está incompleto (se corta en la descripción del segundo inmueble). Requiere completar la descripción íntegra del segundo inmueble, las obligaciones de los permutantes, plazos de entrega y cláusulas finales para ser utilizable. Referencias correctas al CCyC vigente.",si
ABRAHAM,2021 - TRANSF. DE LA PROPIEDAD FIDUCIARIA - FIDEIC. LOS TRILLIZOS - GABRIEL GUTIERREZ (FIDUCIARIO) (27 MAYO 2021).docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ABRAHAM\2021 - TRANSF. DE LA PROPIEDAD FIDUCIARIA - FIDEIC. LOS TRILLIZOS - GABRIEL GUTIERREZ (FIDUCIARIO) (27 MAYO 2021).docx,2020,Transferencia de propiedad fiduciaria,En cumplimiento de contrato de fideicomiso de administración,True,"nombre_fiduciante, dni_fiduciante, cuit_fiduciante, fecha_nacimiento_fiduciante, domicilio_fiduciante, nombre_fiduciario, dni_fiduciario, cuil_fiduciario, fecha_nacimiento_fiduciario, domicilio_fiduciario, nombre_fideicomiso, numero_escritura_fideicomiso, fecha_documento, numero_escritura_actual, fojas_protocolo, descripcion_inmueble",media,"El documento está incompleto (se corta en la parte dispositiva). Requiere completar la descripción del inmueble, monto/valuación fiduciaria, cláusulas finales (otorgamiento, constancia de derechos, firma de partes y notario).",si
ACEPTACION DE COMPRA,ACEPTACION Y CESION -TREUQUIL-VUILLE.docx,C:\Users\Florencia Martinez\Downloads\ESCRIBANIA-20251111T135947Z-1-001\ESCRIBANIA\ACEPTACION DE COMPRA\ACEPTACION Y CESION -TREUQUIL-VUILLE.docx,sin_fecha,Cesión de derechos y acciones,Aceptación de compra de derechos sobre inmueble en proceso judicial,False,"número_escritura, día_mes_año, nombre_notario, registro_notarial, nombre_parte_1, dni_parte_1, domicilio_parte_1, nombre_parte_2, dni_parte_2, cuit_parte_2, domicilio_parte_2, razon_social_sociedad, domicilio_social, numero_inscripcion_sociedad, fecha_contrato_constitutivo, numero_escritura_cesion_anterior, fecha_cesion_anterior, escribano_anterior, registro_notarial_anterior, nombre_cedente_original, dni_cedente_original, cuit_cedente_original, numero_expediente, ubicacion_inmueble, matricula_propiedad, nomenclatura_catastral",baja,"Documento incompleto (corta abruptamente), con referencias al Código Civil de Vélez (art. 1.002) no vigente en CCyC. Requiere actualización integral de lenguaje, actualización de referencias normativas al CCyC 2015 y completitud del acto jurídico.",no
